Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AF,2,Jammu and Kashmir,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,33.94,67.71,38,123,109,176,145
AF,2,Jammu and Kashmir,2614,"Citrus, Other",5142,Food,1000 tonnes,33.94,67.71,1,3,32,18,39
AF,2,Jammu and Kashmir,2615,Bananas,5142,Food,1000 tonnes,33.94,67.71,38,21,28,48,82
AF,2,Jammu and Kashmir,2617,Apples and products,5142,Food,1000 tonnes,33.94,67.71,61,65,56,43,68
AF,2,Jammu and Kashmir,2618,Pineapples and products,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2619,Dates,5142,Food,1000 tonnes,33.94,67.71,1,7,6,9,1
AF,2,Jammu and Kashmir,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,33.94,67.71,212,257,334,472,483
AF,2,Jammu and Kashmir,2625,"Fruits, Other",5142,Food,1000 tonnes,33.94,67.71,223,244,198,236,223
AF,2,Jammu and Kashmir,2633,Cocoa Beans and products,5142,Food,1000 tonnes,33.94,67.71,0,0,1,1,1
AF,2,Jammu and Kashmir,2635,Tea (including mate),5142,Food,1000 tonnes,33.94,67.71,10,31,63,136,107
AF,2,Jammu and Kashmir,2640,Pepper,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2645,"Spices, Other",5142,Food,1000 tonnes,33.94,67.71,5,5,9,10,8
AF,2,Jammu and Kashmir,2655,Wine,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2656,Beer,5142,Food,1000 tonnes,33.94,67.71,3,3,3,3,3
AF,2,Jammu and Kashmir,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2731,Bovine Meat,5142,Food,1000 tonnes,33.94,67.71,136,133,141,153,140
AF,2,Jammu and Kashmir,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,33.94,67.71,137,157,161,155,150
AF,2,Jammu and Kashmir,2734,Poultry Meat,5142,Food,1000 tonnes,33.94,67.71,43,67,77,47,75
AF,2,Jammu and Kashmir,2735,"Meat, Other",5142,Food,1000 tonnes,33.94,67.71,12,12,12,12,12
AF,2,Jammu and Kashmir,2736,"Offals, Edible",5142,Food,1000 tonnes,33.94,67.71,50,54,55,54,53
AF,2,Jammu and Kashmir,2740,"Butter, Ghee",5142,Food,1000 tonnes,33.94,67.71,33,34,33,35,36
AF,2,Jammu and Kashmir,2743,Cream,5142,Food,1000 tonnes,33.94,67.71,0,1,3,4,18
AF,2,Jammu and Kashmir,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,33.94,67.71,14,16,16,16,15
AF,2,Jammu and Kashmir,2744,Eggs,5142,Food,1000 tonnes,33.94,67.71,28,24,32,26,40
AF,2,Jammu and Kashmir,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,33.94,67.71,115,114,114,121,123
AF,2,Jammu and Kashmir,2761,Freshwater Fish,5142,Food,1000 tonnes,33.94,67.71,2,2,2,2,2
AF,2,Jammu and Kashmir,2680,Infant food,5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
AF,2,Jammu and Kashmir,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,33.94,67.71,574,493,394,567,560
AF,2,Jammu and Kashmir,2907,Starchy Roots,5142,Food,1000 tonnes,33.94,67.71,250,192,169,196,230
AF,2,Jammu and Kashmir,2908,Sugar Crops,5521,Feed,1000 tonnes,33.94,67.71,114,83,83,69,81
AF,2,Jammu and Kashmir,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,33.94,67.71,235,251,264,276,274
AF,2,Jammu and Kashmir,2911,Pulses,5521,Feed,1000 tonnes,33.94,67.71,5,4,5,4,4
AF,2,Jammu and Kashmir,2912,Treenuts,5142,Food,1000 tonnes,33.94,67.71,28,66,71,70,44
AF,2,Jammu and Kashmir,2913,Oilcrops,5142,Food,1000 tonnes,33.94,67.71,19,21,19,18,18
AF,2,Jammu and Kashmir,2914,Vegetable Oils,5142,Food,1000 tonnes,33.94,67.71,80,97,92,102,114
AF,2,Jammu and Kashmir,2918,Vegetables,5142,Food,1000 tonnes,33.94,67.71,1056,977,865,910,885
AF,2,Jammu and Kashmir,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,33.94,67.71,572,720,762,1002,1040
AF,2,Jammu and Kashmir,2922,Stimulants,5142,Food,1000 tonnes,33.94,67.71,10,31,64,136,107
AF,2,Jammu and Kashmir,2923,Spices,5142,Food,1000 tonnes,33.94,67.71,5,5,9,10,8
AF,2,Jammu and Kashmir,2924,Alcoholic Beverages,5142,Food,1000 tonnes,33.94,67.71,3,3,3,3,3
AF,2,Jammu and Kashmir,2943,Meat,5142,Food,1000 tonnes,33.94,67.71,329,369,389,367,377
AF,2,Jammu and Kashmir,2945,Offals,5142,Food,1000 tonnes,33.94,67.71,50,54,55,54,53
AF,2,Jammu and Kashmir,2946,Animal fats,5142,Food,1000 tonnes,33.94,67.71,48,51,52,54,69
AF,2,Jammu and Kashmir,2949,Eggs,5142,Food,1000 tonnes,33.94,67.71,28,24,32,26,40
AF,2,Jammu and Kashmir,2960,"Fish, Seafood",5142,Food,1000 tonnes,33.94,67.71,2,2,2,2,2
AF,2,Jammu and Kashmir,2928,Miscellaneous,5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
AL,3,Andhra Pradesh,2511,Wheat and products,5521,Feed,1000 tonnes,41.15,20.17,30,26,25,20,18
AL,3,Andhra Pradesh,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2513,Barley and products,5521,Feed,1000 tonnes,41.15,20.17,4,7,8,7,7
AL,3,Andhra Pradesh,2514,Maize and products,5142,Food,1000 tonnes,41.15,20.17,9,9,8,6,6
AL,3,Andhra Pradesh,2515,Rye and products,5142,Food,1000 tonnes,41.15,20.17,2,2,2,2,2
AL,3,Andhra Pradesh,2516,Oats,5521,Feed,1000 tonnes,41.15,20.17,21,25,28,24,25
AL,3,Andhra Pradesh,2517,Millet and products,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2518,Sorghum and products,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2520,"Cereals, Other",5142,Food,1000 tonnes,41.15,20.17,1,0,0,0,0
AL,3,Andhra Pradesh,2532,Cassava and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2531,Potatoes and products,5521,Feed,1000 tonnes,41.15,20.17,64,69,69,68,75
AL,3,Andhra Pradesh,2533,Sweet potatoes,5142,Food,1000 tonnes,41.15,20.17,16,18,4,3,1
AL,3,Andhra Pradesh,2534,"Roots, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2537,Sugar beet,5521,Feed,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,41.15,20.17,61,52,55,55,56
AL,3,Andhra Pradesh,2543,"Sweeteners, Other",5142,Food,1000 tonnes,41.15,20.17,72,75,83,90,93
AL,3,Andhra Pradesh,2745,Honey,5142,Food,1000 tonnes,41.15,20.17,3,3,3,3,3
AL,3,Andhra Pradesh,2546,Beans,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,1,1
AL,3,Andhra Pradesh,2547,Peas,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2551,Nuts and products,5142,Food,1000 tonnes,41.15,20.17,12,12,13,11,13
AL,3,Andhra Pradesh,2555,Soyabeans,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,41.15,20.17,1,1,0,0,0
AL,3,Andhra Pradesh,2558,Rape and Mustardseed,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2563,Olives (including preserved),5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2570,"Oilcrops, Other",5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2571,Soyabean Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2572,Groundnut Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,41.15,20.17,16,16,15,16,16
AL,3,Andhra Pradesh,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2577,Palm Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2580,Olive Oil,5142,Food,1000 tonnes,41.15,20.17,2,2,2,2,2
AL,3,Andhra Pradesh,2582,Maize Germ Oil,5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,41.15,20.17,3,3,4,4,4
AL,3,Andhra Pradesh,2601,Tomatoes and products,5142,Food,1000 tonnes,41.15,20.17,151,181,175,175,185
AL,3,Andhra Pradesh,2602,Onions,5142,Food,1000 tonnes,41.15,20.17,66,76,105,107,94
AL,3,Andhra Pradesh,2605,"Vegetables, Other",5521,Feed,1000 tonnes,41.15,20.17,67,68,78,79,70
AL,3,Andhra Pradesh,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,41.15,20.17,41,47,43,42,40
AL,3,Andhra Pradesh,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,41.15,20.17,4,4,5,5,5
AL,3,Andhra Pradesh,2613,Grapefruit and products,5142,Food,1000 tonnes,41.15,20.17,0,3,4,3,0
AL,3,Andhra Pradesh,2614,"Citrus, Other",5142,Food,1000 tonnes,41.15,20.17,1,1,0,1,1
AL,3,Andhra Pradesh,2615,Bananas,5142,Food,1000 tonnes,41.15,20.17,17,18,17,17,20
AL,3,Andhra Pradesh,2616,Plantains,5142,Food,1000 tonnes,41.15,20.17,0,0,0,1,1
AL,3,Andhra Pradesh,2617,Apples and products,5142,Food,1000 tonnes,41.15,20.17,57,68,70,74,78
AL,3,Andhra Pradesh,2618,Pineapples and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2619,Dates,5142,Food,1000 tonnes,41.15,20.17,9,11,12,12,12
AL,3,Andhra Pradesh,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,41.15,20.17,139,145,148,148,153
AL,3,Andhra Pradesh,2625,"Fruits, Other",5142,Food,1000 tonnes,41.15,20.17,127,121,123,138,141
AL,3,Andhra Pradesh,2630,Coffee and products,5142,Food,1000 tonnes,41.15,20.17,7,7,7,8,8
AL,3,Andhra Pradesh,2633,Cocoa Beans and products,5142,Food,1000 tonnes,41.15,20.17,1,2,2,2,2
AL,3,Andhra Pradesh,2635,Tea (including mate),5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2640,Pepper,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2641,Pimento,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2645,"Spices, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2655,Wine,5142,Food,1000 tonnes,41.15,20.17,20,23,24,24,25
AL,3,Andhra Pradesh,2656,Beer,5142,Food,1000 tonnes,41.15,20.17,61,78,89,84,86
AL,3,Andhra Pradesh,2657,"Beverages, Fermented",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,41.15,20.17,4,7,9,8,8
AL,3,Andhra Pradesh,2731,Bovine Meat,5142,Food,1000 tonnes,41.15,20.17,62,67,67,71,71
AL,3,Andhra Pradesh,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,41.15,20.17,34,38,41,48,49
AL,3,Andhra Pradesh,2733,Pigmeat,5142,Food,1000 tonnes,41.15,20.17,36,35,35,35,35
AL,3,Andhra Pradesh,2734,Poultry Meat,5142,Food,1000 tonnes,41.15,20.17,43,45,42,40,42
AL,3,Andhra Pradesh,2735,"Meat, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2736,"Offals, Edible",5142,Food,1000 tonnes,41.15,20.17,10,13,12,13,11
AL,3,Andhra Pradesh,2740,"Butter, Ghee",5142,Food,1000 tonnes,41.15,20.17,3,3,3,4,4
AL,3,Andhra Pradesh,2743,Cream,5142,Food,1000 tonnes,41.15,20.17,0,0,1,0,0
AL,3,Andhra Pradesh,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,41.15,20.17,10,8,6,6,4
AL,3,Andhra Pradesh,2781,"Fish, Body Oil",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2744,Eggs,5142,Food,1000 tonnes,41.15,20.17,24,23,24,40,40
AL,3,Andhra Pradesh,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,41.15,20.17,94,96,99,99,101
AL,3,Andhra Pradesh,2761,Freshwater Fish,5142,Food,1000 tonnes,41.15,20.17,3,2,2,2,2
AL,3,Andhra Pradesh,2762,Demersal Fish,5142,Food,1000 tonnes,41.15,20.17,2,3,2,2,3
AL,3,Andhra Pradesh,2763,Pelagic Fish,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2764,"Marine Fish, Other",5142,Food,1000 tonnes,41.15,20.17,2,1,3,2,2
AL,3,Andhra Pradesh,2765,Crustaceans,5142,Food,1000 tonnes,41.15,20.17,0,1,1,1,1
AL,3,Andhra Pradesh,2766,Cephalopods,5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2767,"Molluscs, Other",5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2775,Aquatic Plants,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2680,Infant food,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,41.15,20.17,340,432,419,407,410
AL,3,Andhra Pradesh,2907,Starchy Roots,5521,Feed,1000 tonnes,41.15,20.17,64,69,69,68,75
AL,3,Andhra Pradesh,2908,Sugar Crops,5521,Feed,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,41.15,20.17,135,130,141,148,151
AL,3,Andhra Pradesh,2911,Pulses,5521,Feed,1000 tonnes,41.15,20.17,1,1,1,2,2
AL,3,Andhra Pradesh,2912,Treenuts,5142,Food,1000 tonnes,41.15,20.17,12,12,13,11,13
AL,3,Andhra Pradesh,2913,Oilcrops,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2914,Vegetable Oils,5142,Food,1000 tonnes,41.15,20.17,22,22,22,22,22
AL,3,Andhra Pradesh,2918,Vegetables,5521,Feed,1000 tonnes,41.15,20.17,67,68,78,79,70
AL,3,Andhra Pradesh,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,41.15,20.17,396,417,421,442,451
AL,3,Andhra Pradesh,2922,Stimulants,5142,Food,1000 tonnes,41.15,20.17,9,9,9,10,10
AL,3,Andhra Pradesh,2923,Spices,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2924,Alcoholic Beverages,5142,Food,1000 tonnes,41.15,20.17,85,108,121,116,119
AL,3,Andhra Pradesh,2943,Meat,5142,Food,1000 tonnes,41.15,20.17,176,186,185,194,197
AL,3,Andhra Pradesh,2945,Offals,5142,Food,1000 tonnes,41.15,20.17,10,13,12,13,11
AL,3,Andhra Pradesh,2946,Animal fats,5142,Food,1000 tonnes,41.15,20.17,13,11,10,10,8
AL,3,Andhra Pradesh,2949,Eggs,5142,Food,1000 tonnes,41.15,20.17,24,23,24,40,40
AL,3,Andhra Pradesh,2948,Milk - Excluding Butter,5521,Feed,1000 tonnes,41.15,20.17,94,96,99,99,101
AL,3,Andhra Pradesh,2960,"Fish, Seafood",5142,Food,1000 tonnes,41.15,20.17,19,18,18,16,15
AL,3,Andhra Pradesh,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2928,Miscellaneous,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
DZ,4,Haryana,2511,Wheat and products,5521,Feed,1000 tonnes,28.03,1.66,200,280,450,635,545
DZ,4,Haryana,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,28.03,1.66,73,102,80,105,117
DZ,4,Haryana,2513,Barley and products,5521,Feed,1000 tonnes,28.03,1.66,718,778,798,1262,1280
DZ,4,Haryana,2514,Maize and products,5142,Food,1000 tonnes,28.03,1.66,480,691,557,609,627
DZ,4,Haryana,2515,Rye and products,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2516,Oats,5521,Feed,1000 tonnes,28.03,1.66,83,77,64,105,107
DZ,4,Haryana,2517,Millet and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,1,1,1
DZ,4,Haryana,2518,Sorghum and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2520,"Cereals, Other",5142,Food,1000 tonnes,28.03,1.66,1,1,1,1,1
DZ,4,Haryana,2532,Cassava and products,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2531,Potatoes and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2534,"Roots, Other",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2536,Sugar cane,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,28.03,1.66,1115,1130,1007,1134,1089
DZ,4,Haryana,2543,"Sweeteners, Other",5142,Food,1000 tonnes,28.03,1.66,13,22,20,23,24
DZ,4,Haryana,2745,Honey,5142,Food,1000 tonnes,28.03,1.66,4,6,5,6,7
DZ,4,Haryana,2546,Beans,5142,Food,1000 tonnes,28.03,1.66,50,49,78,53,61
DZ,4,Haryana,2547,Peas,5142,Food,1000 tonnes,28.03,1.66,15,18,14,17,18
DZ,4,Haryana,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,28.03,1.66,13,13,13,14,14
DZ,4,Haryana,2551,Nuts and products,5142,Food,1000 tonnes,28.03,1.66,75,75,51,71,71
DZ,4,Haryana,2555,Soyabeans,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,28.03,1.66,9,12,10,7,11
DZ,4,Haryana,2558,Rape and Mustardseed,5142,Food,1000 tonnes,28.03,1.66,1,1,1,1,1
DZ,4,Haryana,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,28.03,1.66,13,13,3,11,3
DZ,4,Haryana,2561,Sesame seed,5142,Food,1000 tonnes,28.03,1.66,3,3,5,4,5
DZ,4,Haryana,2562,Palm kernels,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2563,Olives (including preserved),5142,Food,1000 tonnes,28.03,1.66,83,36,106,135,191
DZ,4,Haryana,2570,"Oilcrops, Other",5521,Feed,1000 tonnes,28.03,1.66,2,2,2,2,1
DZ,4,Haryana,2571,Soyabean Oil,5142,Food,1000 tonnes,28.03,1.66,208,298,296,305,293
DZ,4,Haryana,2572,Groundnut Oil,5142,Food,1000 tonnes,28.03,1.66,22,14,20,15,20
DZ,4,Haryana,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,28.03,1.66,41,76,79,88,77
DZ,4,Haryana,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,28.03,1.66,27,15,16,16,18
DZ,4,Haryana,2577,Palm Oil,5142,Food,1000 tonnes,28.03,1.66,29,23,21,23,29
DZ,4,Haryana,2578,Coconut Oil,5142,Food,1000 tonnes,28.03,1.66,1,3,2,2,1
DZ,4,Haryana,2579,Sesameseed Oil,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2580,Olive Oil,5142,Food,1000 tonnes,28.03,1.66,54,43,61,51,68
DZ,4,Haryana,2582,Maize Germ Oil,5142,Food,1000 tonnes,28.03,1.66,4,2,1,2,2
DZ,4,Haryana,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,28.03,1.66,60,23,73,73,78
DZ,4,Haryana,2601,Tomatoes and products,5142,Food,1000 tonnes,28.03,1.66,757,804,882,988,1073
DZ,4,Haryana,2602,Onions,5142,Food,1000 tonnes,28.03,1.66,931,951,1087,1124,1277
DZ,4,Haryana,2605,"Vegetables, Other",5521,Feed,1000 tonnes,28.03,1.66,0,0,3,1,0
DZ,4,Haryana,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,28.03,1.66,762,717,1002,1002,1116
DZ,4,Haryana,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,28.03,1.66,55,48,66,71,75
DZ,4,Haryana,2613,Grapefruit and products,5142,Food,1000 tonnes,28.03,1.66,1,2,2,2,3
DZ,4,Haryana,2614,"Citrus, Other",5142,Food,1000 tonnes,28.03,1.66,8,2,7,22,9
DZ,4,Haryana,2615,Bananas,5142,Food,1000 tonnes,28.03,1.66,162,52,221,200,247
DZ,4,Haryana,2616,Plantains,5142,Food,1000 tonnes,28.03,1.66,0,0,0,9,0
DZ,4,Haryana,2617,Apples and products,5142,Food,1000 tonnes,28.03,1.66,370,466,507,497,544
DZ,4,Haryana,2618,Pineapples and products,5142,Food,1000 tonnes,28.03,1.66,5,4,7,11,10
DZ,4,Haryana,2619,Dates,5142,Food,1000 tonnes,28.03,1.66,570,624,683,754,821
DZ,4,Haryana,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,28.03,1.66,460,505,342,492,512
DZ,4,Haryana,2625,"Fruits, Other",5142,Food,1000 tonnes,28.03,1.66,793,929,1027,1012,1141
DZ,4,Haryana,2630,Coffee and products,5142,Food,1000 tonnes,28.03,1.66,125,71,119,129,129
DZ,4,Haryana,2633,Cocoa Beans and products,5142,Food,1000 tonnes,28.03,1.66,26,27,33,32,41
DZ,4,Haryana,2635,Tea (including mate),5142,Food,1000 tonnes,28.03,1.66,12,12,16,16,13
DZ,4,Haryana,2640,Pepper,5142,Food,1000 tonnes,28.03,1.66,2,1,2,2,4
DZ,4,Haryana,2641,Pimento,5142,Food,1000 tonnes,28.03,1.66,13,16,19,17,19
DZ,4,Haryana,2642,Cloves,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2645,"Spices, Other",5142,Food,1000 tonnes,28.03,1.66,9,4,10,11,10
DZ,4,Haryana,2655,Wine,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2656,Beer,5142,Food,1000 tonnes,28.03,1.66,145,146,153,161,188
DZ,4,Haryana,2657,"Beverages, Fermented",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
